RefSeq_accession_number,gene_symbol,gene_name,AO_A12D,C8_A131,BH_A18Q,C8_A130,C8_A138,E2_A154,C8_A12L,A2_A0EX,A7_A0CE,AN_A04A
NP_001195,BMPR2,bone morphogenetic protein receptor type-2 precursor,13,0,-7,-1,0,0,0,0,13.07,0.14
NP_219494,KIAA1737,uncharacterized protein KIAA1737,13,0,-3,0,0,0,0,0,13.07,0.14
NP_653269,WDR66,WD repeat-containing protein 66 isoform 1,1,-1,6,-3,-6,-9.15,0.21,-2.76,10.16,-2.18
NP_149132,MAP3K9,mitogen-activated protein kinase kinase kinase 9,5,2,-9,1,-4,-3.85,0,0,10.12,0.66
NP_115811,KIAA1804,mitogen-activated protein kinase kinase kinase MLK4,3,-1,-1,0,-4,-3.85,0,0,10.12,0.66
NP_005226,ERBB4,receptor tyrosine-protein kinase erbB-4 isoform JM-a/CVT-1 precursor,10,0,-5,-1,0,-3.29,1.07,-0.24,9.72,0.4
NP_002407,CXCL9,C-X-C motif chemokine 9 precursor,8,0,4,-2,1,-3.41,0,0,9.67,-1.86
NP_001556,CXCL10,C-X-C motif chemokine 10 precursor,9,-1,2,-2,-2,-2.38,-1.87,-6.77,9.45,0.3
NP_004439,ERBB2,receptor tyrosine-protein kinase erbB-2 isoform a precursor,10,0,-5,-3,-1,-3.89,0.04,-1.64,9.44,0.04
NP_659453,GLYATL2,glycine N-acyltransferase-like protein 2,9,5,4,-4,-8,-8,6,-2.01,9.26,-0.33
NP_036246,CASP14,caspase-14 precursor,8,2,-8,-7,-9,-8.9,5.59,-0.44,9.05,-0.65
NP_001229372,NA,growth factor receptor-bound protein 7 isoform a,9,1,-3,-2,1,-4.11,0.17,-2.46,8.97,-0.45
NP_078868,SRD5A3,polyprenol reductase,9,0,-8,0,2,-7.91,2.77,-1.83,8.88,-0.57
NP_001157196,NA,small integral membrane protein 1,7,1,-4,-2,1,-1.23,0,0,8.86,-0.29
NP_945344,STAC2,SH3 and cysteine-rich domain-containing protein 2,8,1,0,-4,-5,-4.86,-2.44,-2.62,8.5,-0.09
NP_001258745,NA,DNA cross-link repair 1A protein,6,2,-5,-3,3,-6.74,-2.52,-0.68,8.13,-4.5
NP_006527,CLCA2,calcium-activated chloride channel regulator 2 precursor,9,3,-4,-6,2,-4.59,3.6,-1.91,8.01,-1.37
NP_001103089,NA,HIG1 domain family member 1C,6,-1,-1,-1,0,0,2.28,-2.05,7.98,1.35
NP_001001414,NCCRP1,F-box only protein 50,8,2,2,-3,-1,-8.38,4.33,-1.66,7.95,-0.27
NP_115568,PPP1R1B,protein phosphatase 1 regulatory subunit 1B isoform 1,7,1,-1,-1,4,0.83,-2.65,1.14,7.87,-0.01
NP_001191761,NA,anoctamin-10 isoform 3,6,3,-2,-1,3,-2.85,0.77,-0.58,7.83,0.46
NP_002402,SCGB2A2,mammaglobin-A precursor,13,-2,-6,-5,0,0,0,0,7.81,-0.34
NP_060835,MNS1,meiosis-specific nuclear structural protein 1,6,-1,-8,-4,-1,-5.13,-8.04,-9.45,7.72,-2.43
NP_789793,S100A7A,protein S100-A7A,7,3,-8,-10,-10,-11.15,8.23,1.67,7.71,-1.66
NP_001035546,RHBDD2,rhomboid domain-containing protein 2 isoform a,5,0,0,0,2,-2.27,0,0,7.43,2.38
NP_001437,FABP7,"fatty acid-binding protein, brain",8,0,8,0,-9,-12.14,0.34,-6.82,7.42,-2.36
NP_828847,CYP4X1,cytochrome P450 4X1,7,-2,-2,-4,3,-2.24,0.53,1,7.26,-1.38
NP_004353,CLGN,calmegin precursor,9,0,-6,-4,1,-1.69,0.52,-0.72,7.25,-0.4
NP_003055,SLPI,antileukoproteinase precursor,8,-1,-1,-3,-2,-5.58,5.38,0.8,7.14,-1.08
NP_064695,NA,aldo-keto reductase family 1 member B10,8,2,-6,-3,6,-2.34,5.82,-1.31,7.13,-0.81
NP_444513,DCD,dermcidin preproprotein,8,1,-1,-4,-6,-5.98,-2.54,-1.55,7.1,-2.49
NP_060545,ANO10,anoctamin-10 isoform 1,6,3,-2,-2,2,-2.59,0.19,-1.26,7.07,0.27
NP_001074007,NA,aldo-keto reductase family 1 member B15,9,2,-4,-2,2,-2.27,5.82,-0.33,6.99,-1.18
NP_002954,S100A7,protein S100-A7,6,3,-9,-10,-10,-11.97,8.23,1.59,6.99,-1.82
NP_689771,IQCE,IQ domain-containing protein E isoform 1,3,2,-2,1,3,0.02,0.2,-0.91,6.97,1.3
NP_000932,POR,NADPH--cytochrome P450 reductase,7,2,-2,-1,1,-2.09,0.38,-1.57,6.94,-0.33
NP_001191763,NA,anoctamin-10 isoform 5,6,3,-1,-1,2,-2.39,0.19,-1.26,6.86,0.28
NP_954855,CACNB1,voltage-dependent L-type calcium channel subunit beta-1 isoform 2,1,2,-8,-3,1,-2.63,-1.64,0.36,6.84,-0.12
NP_689975,TSGA10IP,testis-specific protein 10-interacting protein,0,0,-5,0,-2,-5.09,0,0,6.81,-2.48
NP_000841,GSTM4,glutathione S-transferase Mu 4 isoform 1,5,-4,0,1,-5,-4.07,-7.04,-5.45,6.72,0.75
NP_076947,METRN,meteorin precursor,1,0,0,0,0,0,-1.53,-1.48,6.67,-2.27
NP_079137,C2ORF54,uncharacterized protein C2orf54 isoform 2,6,3,-2,0,2,-2.2,-2.91,-1.3,6.64,-1.55
NP_001638,APOD,apolipoprotein D precursor,7,0,0,0,-4,0.22,-1.22,8.91,6.6,-0.11
NP_001028170,KYNU,kynureninase isoform b,5,3,-1,-3,-1,-3.19,6.58,-0.15,6.58,-1.9
NP_115927,TTBK1,tau-tubulin kinase 1,5,-1,3,2,4,-5.64,-4.36,-1.89,6.53,1.07
NP_001078906,C2ORF54,uncharacterized protein C2orf54 isoform 1,6,3,-1,1,2,-2.25,-0.55,-1.09,6.53,-0.54
NP_001036249,CCDC158,coiled-coil domain-containing protein 158,3,1,-4,0,-1,-7.27,-3.49,-0.12,6.5,-2.78
NP_002596,PDE8A,"high affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A isoform 1",0,-2,2,-1,1,-2.25,-0.23,-1.38,6.5,-2.78
NP_003710,PDE8B,"high affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B isoform 1",3,0,0,0,-1,-7.27,0,0,6.5,-2.78
NP_000329,SLC12A1,solute carrier family 12 member 1 isoform A,0,-2,-11,-3,1,-2.49,0,0,6.47,1.42
NP_114131,TMEM120A,transmembrane protein 120A,5,0,-1,0,1,-2.3,1.59,-1.3,6.46,-0.92
NP_666533,GSTM1,glutathione S-transferase Mu 1 isoform 2,5,-4,1,0,-6,-4.72,-7.17,-5.76,6.46,0.69
NP_001172019,NA,"glutamate receptor ionotropic, NMDA 1 isoform NR1-4 precursor",12,2,-1,-1,0,0,-0.73,0.38,6.29,0.97
NP_001172020,NA,"glutamate receptor ionotropic, NMDA 1 isoform 5 precursor",12,2,-1,-1,0,0,-0.73,0.38,6.29,0.97
NP_116264,FBXL20,F-box/LRR-repeat protein 20 isoform 1,7,0,-1,-1,1,-0.66,-0.75,-0.82,6.19,-0.21
NP_766638,SCUBE1,"signal peptide, CUB and EGF-like domain-containing protein 1 precursor",-2,-1,-4,-1,-3,1.02,-5.43,1.49,6.16,-1.8
NP_054775,NA,"HIG1 domain family member 1A, mitochondrial isoform b",4,-1,-1,-1,0,-0.06,0.31,-2.5,6.15,1.6
NP_000766,CYP2J2,cytochrome P450 2J2,0,0,0,0,1,-6.39,0,0,6.14,-3.94
NP_000552,GSTM1,glutathione S-transferase Mu 1 isoform 1,5,-4,1,0,-6,-4.66,-7.17,-6.1,6.13,0.61
NP_000842,GSTM5,glutathione S-transferase Mu 5,6,-4,0,1,-5,-5.55,-6.47,-4.14,6.13,0.83
NP_001177915,NA,cysteine-rich secretory protein 3 isoform 2 precursor,5,7,-5,-5,-4,-4.83,1.05,-2.68,6.11,-1.57
NP_059119,GALNT7,N-acetylgalactosaminyltransferase 7,5,0,-2,-2,-3,-1.26,1.56,-2.45,6.09,1.54
NP_001264262,NA,ankyrin repeat domain-containing protein 62,0,0,-11,-2,3,-5.98,-5.04,-1.84,6.09,1.17
NP_005836,ABCC4,multidrug resistance-associated protein 4 isoform 1,6,1,0,-2,-1,0.83,-0.27,1.77,6.07,-0.18
NP_036223,NA,tRNA-specific adenosine deaminase 1,1,0,1,-1,-1,-0.92,-0.35,-0.78,6.05,-2.7
NP_001009944,PKD1,polycystin-1 isoform 1 precursor,1,1,1,-1,1,0.81,0.29,1.36,6.05,-2.7
NP_004852,GAL3ST1,galactosylceramide sulfotransferase,0,-1,2,2,0,-4.73,1.67,0.14,6.01,-1.81
NP_001245249,NA,tumor protein p53-inducible protein 11,7,2,-4,-1,3,-2.86,-1.29,-0.26,5.98,0.71
NP_058649,PDE11A,"dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A isoform 4",0,0,-2,-2,0,0,-5.78,-4.65,5.91,-1.43
NP_001070665,PDE11A,"dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A isoform 3",1,-3,-2,-2,0,0,-3.27,-2.39,5.91,-1.43
NP_001070826,PDE11A,"dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A isoform 2",0,0,-2,-2,0,0,-5.78,-4.65,5.91,-1.43
NP_001186170,NA,kynureninase isoform a,5,3,0,-3,-1,-2.87,6.5,-0.2,5.85,-1.99
NP_115598,FAM188B,protein FAM188B,0,0,-3,1,3,-4.35,0.35,0.48,5.76,2.01
XP_370934,NA,PREDICTED: uncharacterized protein LOC388210,2,5,0,0,0,-6.38,0,0,5.73,-0.04
NP_001193949,NA,putative protein shisa-8 precursor,-2,-3,-4,-1,1,-5.42,0,0,5.73,-2.72
NP_057419,NA,"proline dehydrogenase 1, mitochondrial isoform 1 precursor",6,-1,-3,-3,-1,-5.94,0.24,-4.38,5.66,-0.44
NP_001230209,NA,CD166 antigen isoform 2 precursor,6,-1,-4,-3,2,-2.22,-0.74,1.6,5.66,0.01
NP_004660,CLIC3,chloride intracellular channel protein 3,6,3,0,-1,2,-0.83,-0.68,-1.06,5.65,0.2
NP_057678,FKBP11,peptidyl-prolyl cis-trans isomerase FKBP11 isoform 1 precursor,5,2,0,-1,2,-0.58,-0.81,0.09,5.65,0.24
NP_076934,YIPF2,protein YIPF2,0,0,0,0,1,-5.49,0,0,5.63,0.92
NP_055489,EDEM1,ER degradation-enhancing alpha-mannosidase-like protein 1,0,0,0,0,2,-4.89,1.92,-1.44,5.63,-6.93
NP_714913,ELMOD2,ELMO domain-containing protein 2,6,1,-2,-2,1,-1.83,-0.9,-0.25,5.62,0.09
NP_775323,ST6GAL1,"beta-galactoside alpha-2,6-sialyltransferase 1 isoform a",6,1,4,-1,-2,-3.14,-0.13,-2.05,5.62,-0.93
NP_000558,CRP,C-reactive protein precursor,5,0,-1,-1,-3,-0.14,-1.58,-6.21,5.59,-1.3
NP_002437,MAP3K10,mitogen-activated protein kinase kinase kinase 10,12,2,-5,0,-2,-3.28,-1.06,1.39,5.58,-0.73
NP_115497,MAGT1,magnesium transporter protein 1,5,1,0,-2,1,-3.81,-0.85,-1.34,5.56,0.36
NP_005054,SCD,acyl-CoA desaturase,3,0,-4,-2,4,-3.86,-1.25,-2.38,5.55,-1.14
NP_006542,SCGB1D2,secretoglobin family 1D member 2 precursor,7,-4,-4,-3,-4,-0.01,-3.38,1.9,5.55,-3.5
NP_653176,CAPN13,calpain-13,5,-1,-5,0,0,-3.75,1.25,0.35,5.53,-0.21
NP_036289,FBXL2,F-box/LRR-repeat protein 2 isoform 1,11,1,-4,-1,-1,3.02,-2.57,0.53,5.53,-0.97
NP_115715,C17ORF37,migration and invasion enhancer 1,5,-2,-3,0,2,-2.17,-0.06,-1.48,5.53,0.05
NP_620154,MBOAT2,lysophospholipid acyltransferase 2,4,0,-4,-1,4,-2.06,-2.59,-2.33,5.53,-0.87
NP_114104,TEKT3,tektin-3,0,0,0,0,3,-6.62,0.55,-2.05,5.52,0.95
NP_003670,KMO,kynurenine 3-monooxygenase,5,1,0,0,3,-3.27,2.58,-0.65,5.52,-1.16
NP_031370,TTF1,transcription termination factor 1 isoform 1,2,1,-9,-1,0,0,1.17,-0.75,5.51,1.99
NP_003147,STIM1,stromal interaction molecule 1 isoform 2 precursor,5,1,1,-2,1,-1.95,-0.5,-1.27,5.5,0.29
NP_001158137,KIAA1549,UPF0606 protein KIAA1549 isoform 2,2,0,0,0,0,0,0,0,5.48,-1.9
